Episode,TotalReward,AvgVehicleQueue,PedestriansServed,AvgPedestrianWait
1,923.0,1.05625,2,2.0
2,1456.0,0.980625,4,46.0
3,371.0,0.271875,4,1.75
4,791.0,0.386875,3,7.666666666666667
5,737.0,0.345625,5,7.0
6,1433.0,1.288125,6,4.166666666666667
7,1462.0,1.630625,2,30.0
8,1428.0,1.159375,5,6.4
9,372.0,0.17375,5,3.6
10,1405.0,0.966875,4,1.25
11,324.0,0.635,2,22.5
12,1319.0,0.9075,6,12.666666666666666
13,1323.0,0.929375,4,2.25
14,712.0,0.33875,4,14.25
15,741.0,0.31625,2,0.5
16,1393.0,0.78625,4,5.0
17,1316.0,0.613125,4,1.0
18,1266.0,0.72875,2,3.5
19,30.0,0.035625,3,9.666666666666666
20,1183.0,0.575,4,4.0
21,1047.0,1.113125,3,0.3333333333333333
22,1058.0,0.46125,4,2.25
23,1014.0,1.11375,6,1.5
24,1196.0,0.681875,5,6.8
25,1130.0,0.905625,6,1.3333333333333333
26,1089.0,0.453125,1,6.0
27,1177.0,0.793125,2,0.5
28,762.0,0.533125,5,3.2
29,1274.0,0.951875,3,0.3333333333333333
30,1082.0,0.645,5,4.8
31,1031.0,0.445625,6,1.6666666666666667
32,1061.0,0.465,6,2.0
33,1378.0,0.57,3,6.0
34,1382.0,0.543125,3,4.0
35,1442.0,0.925625,7,1.4285714285714286
36,776.0,0.35375,0,0.0
37,739.0,0.556875,3,19.666666666666668
38,386.0,0.19625,5,1.2
39,1296.0,0.915625,5,0.8
40,29.0,0.02875,4,2.25
41,1034.0,0.450625,3,2.3333333333333335
42,1038.0,0.439375,2,5.5
43,1080.0,0.43,6,1.5
44,29.0,0.1625,5,10.2
45,1228.0,0.72375,5,1.4
46,1221.0,0.575,5,4.2
47,1165.0,0.751875,1,0.0
48,26.0,0.024375,2,0.5
49,388.0,0.230625,5,1.0
50,1351.0,0.585,4,3.25
51,1057.0,0.413125,5,0.8
52,1370.0,0.678125,4,1.5
53,1350.0,0.89625,5,7.0
54,1372.0,0.5925,5,0.8
55,735.0,0.275625,5,1.6
56,1038.0,0.385625,4,6.0
57,1374.0,0.511875,3,1.0
58,387.0,0.15375,3,2.0
59,390.0,0.18875,4,5.0
60,1379.0,0.71375,3,1.0
61,38.0,0.076875,5,0.8
62,742.0,0.86125,6,2.3333333333333335
63,1382.0,1.008125,5,2.0
64,1339.0,0.593125,5,3.4
65,1021.0,0.49,5,3.8
66,761.0,0.3625,5,4.4
67,984.0,0.4325,5,2.6
68,768.0,0.2975,4,6.5
69,1467.0,1.3275,5,7.0
70,1343.0,0.75,4,2.0
71,376.0,0.139375,4,3.25
72,1311.0,0.695,4,0.75
73,1463.0,1.41125,4,3.25
74,1367.0,0.934375,6,4.5
75,759.0,0.599375,5,24.4
76,1034.0,0.64625,4,15.25
77,1379.0,0.72875,3,0.6666666666666666
78,1390.0,0.95625,5,1.0
79,1308.0,1.035625,5,16.2
80,1087.0,0.385,1,0.0
81,1311.0,0.741875,7,1.8571428571428572
82,1415.0,1.07625,3,7.666666666666667
83,1072.0,0.49625,3,3.0
84,757.0,0.308125,2,1.5
85,1355.0,0.720625,4,16.5
86,1361.0,0.69375,3,1.6666666666666667
87,1409.0,0.653125,6,1.1666666666666667
88,1054.0,0.57875,2,18.0
89,727.0,0.335,6,1.3333333333333333
90,1236.0,0.765,4,1.75
91,1471.0,1.164375,3,16.666666666666668
92,390.0,0.2925,5,2.2
93,1407.0,1.093125,5,9.8
94,1369.0,0.91,3,4.666666666666667
95,1280.0,0.620625,5,1.8
96,1028.0,0.483125,6,1.1666666666666667
97,1067.0,0.5025,3,1.0
98,1427.0,0.666875,5,1.6
99,1410.0,0.754375,4,8.75
100,36.0,0.218125,4,10.5
