Episode,TotalReward,AvgVehicleQueue
1,61.0,0.4175
2,675.0,0.939375
3,1084.0,0.95875
4,1402.0,0.819375
5,758.0,0.813125
6,1380.0,0.66625
7,1217.0,0.763125
8,753.0,0.355
9,1351.0,0.64
10,987.0,0.715625
11,1422.0,0.7875
12,417.0,0.248125
13,1086.0,0.39375
14,1154.0,0.934375
15,1376.0,0.99
16,1434.0,0.66875
17,1447.0,1.1325
18,1399.0,1.209375
19,763.0,0.393125
20,1380.0,1.034375
21,1355.0,0.52125
22,1411.0,0.860625
23,1403.0,0.67
24,1461.0,1.045
25,1049.0,0.535625
26,728.0,0.269375
27,50.0,0.075
28,1027.0,0.46
29,1030.0,0.4625
30,1082.0,0.77875
31,1429.0,0.800625
32,1392.0,0.813125
33,386.0,0.156875
34,1402.0,0.733125
35,762.0,0.361875
36,1378.0,0.64
37,1398.0,0.78
38,700.0,0.269375
39,377.0,0.196875
40,22.0,0.0975
41,1174.0,0.819375
42,391.0,0.165625
43,996.0,0.438125
44,990.0,0.916875
45,929.0,0.894375
46,1000.0,0.383125
47,763.0,0.33125
48,1072.0,0.86
49,1379.0,0.566875
50,1165.0,0.805
51,1263.0,1.230625
52,1027.0,0.91625
53,393.0,0.145
54,399.0,0.24625
55,1264.0,1.0375
56,1008.0,0.67125
57,403.0,0.22625
58,1341.0,0.58125
59,1084.0,0.465
60,1296.0,0.526875
61,1310.0,0.7675
62,1065.0,0.4225
63,1104.0,0.560625
64,732.0,0.5125
65,1286.0,0.6275
66,391.0,0.1675
67,1440.0,0.72375
68,1351.0,0.65125
69,1339.0,0.946875
70,1041.0,0.460625
71,1240.0,0.55375
72,1429.0,0.96
73,382.0,0.161875
74,1270.0,0.55125
75,1279.0,0.648125
76,1227.0,0.664375
77,1411.0,0.76375
78,395.0,0.245
79,1395.0,0.826875
80,518.0,0.253125
81,1288.0,0.796875
82,781.0,0.319375
83,1058.0,0.4425
84,417.0,0.584375
85,1394.0,1.113125
86,1404.0,0.91375
87,1103.0,0.534375
88,1072.0,0.54375
89,1024.0,0.43625
90,1074.0,0.421875
91,1392.0,0.518125
92,1073.0,0.675625
93,386.0,0.155625
94,1340.0,0.645625
95,1104.0,0.545625
96,1465.0,1.405625
97,767.0,0.413125
98,1051.0,0.44
99,1376.0,0.7575
100,1427.0,0.9475
